label,city,state_slug,state_abbr,url,population
"Dodge, MN",Dodge,minnesota,MN,/minnesota/dodge/?tab=insights,89396
"Dodge Center, MN",Dodge Center,minnesota,MN,/minnesota/dodge-center/?tab=insights,2844
"Douglas County, MN",Douglas County,minnesota,MN,/minnesota/douglas-county/?tab=insights,42938
"Duluth, MN",Duluth,minnesota,MN,/minnesota/duluth/?tab=insights,86697
"Dundas, MN",Dundas,minnesota,MN,/minnesota/dundas/?tab=insights,1712
"Eagan, MN",Eagan,minnesota,MN,/minnesota/eagan/?tab=insights,68855
"Eagle Lake, MN",Eagle Lake,minnesota,MN,/minnesota/eagle-lake/?tab=insights,3278
"East Bethel, MN",East Bethel,minnesota,MN,/minnesota/east-bethel/?tab=insights,11786
"East Grand Forks, MN",East Grand Forks,minnesota,MN,/minnesota/east-grand-forks/?tab=insights,9176
"East Gull Lake, MN",East Gull Lake,minnesota,MN,/minnesota/east-gull-lake/?tab=insights,986
"Eden Prairie, MN",Eden Prairie,minnesota,MN,/minnesota/eden-prairie/?tab=insights,64198
"Eden Valley, MN",Eden Valley,minnesota,MN,/minnesota/eden-valley/?tab=insights,1027
"Edgerton, MN",Edgerton,minnesota,MN,/minnesota/edgerton/?tab=insights,1139
"Edina, MN",Edina,minnesota,MN,/minnesota/edina/?tab=insights,53494
"Elbow Lake, MN",Elbow Lake,minnesota,MN,/minnesota/elbow-lake/?tab=insights,1276
"Elgin, MN",Elgin,minnesota,MN,/minnesota/elgin/?tab=insights,1055
"Elk River, MN",Elk River,minnesota,MN,/minnesota/elk-river/?tab=insights,25835
"Elko New Market, MN",Elko New Market,minnesota,MN,/minnesota/elko-new-market/?tab=insights,4846
"Ely, MN",Ely,minnesota,MN,/minnesota/ely/?tab=insights,3924
"Esko, MN",Esko,minnesota,MN,/minnesota/esko/?tab=insights,1869
"Eveleth, MN",Eveleth,minnesota,MN,/minnesota/eveleth/?tab=insights,3493
"Excelsior, MN",Excelsior,minnesota,MN,/minnesota/excelsior/?tab=insights,2355
"Eyota, MN",Eyota,minnesota,MN,/minnesota/eyota/?tab=insights,2006
"Fairfax, MN",Fairfax,minnesota,MN,/minnesota/fairfax/?tab=insights,1172
"Fairmont, MN",Fairmont,minnesota,MN,/minnesota/fairmont/?tab=insights,10487
"Falcon Heights, MN",Falcon Heights,minnesota,MN,/minnesota/falcon-heights/?tab=insights,5571
"Faribault, MN",Faribault,minnesota,MN,/minnesota/faribault/?tab=insights,24453
"Farmington, MN",Farmington,minnesota,MN,/minnesota/farmington/?tab=insights,24531
"Fergus Falls, MN",Fergus Falls,minnesota,MN,/minnesota/fergus-falls/?tab=insights,14119
"Foley, MN",Foley,minnesota,MN,/minnesota/foley/?tab=insights,2711
"Forest Lake, MN",Forest Lake,minnesota,MN,/minnesota/forest-lake/?tab=insights,20611
"Fosston, MN",Fosston,minnesota,MN,/minnesota/fosston/?tab=insights,1434
"Frazee, MN",Frazee,minnesota,MN,/minnesota/frazee/?tab=insights,1335
"Freeborn, MN",Freeborn,minnesota,MN,/minnesota/freeborn/?tab=insights,30895
"Fridley, MN",Fridley,minnesota,MN,/minnesota/fridley/?tab=insights,29590
"Fulda, MN",Fulda,minnesota,MN,/minnesota/fulda/?tab=insights,1371
"Gaylord, MN",Gaylord,minnesota,MN,/minnesota/gaylord/?tab=insights,2245
"Gilbert, MN",Gilbert,minnesota,MN,/minnesota/gilbert/?tab=insights,1792
"Glencoe, MN",Glencoe,minnesota,MN,/minnesota/glencoe/?tab=insights,5521
"Glenwood, MN",Glenwood,minnesota,MN,/minnesota/glenwood/?tab=insights,2568
"Glyndon, MN",Glyndon,minnesota,MN,/minnesota/glyndon/?tab=insights,1380
"Golden Valley, MN",Golden Valley,minnesota,MN,/minnesota/golden-valley/?tab=insights,21270
"Goodhue County, MN",Goodhue County,minnesota,MN,/minnesota/goodhue-county/?tab=insights,47582
"Goodview, MN",Goodview,minnesota,MN,/minnesota/goodview/?tab=insights,4158
"Grand Marais, MN",Grand Marais,minnesota,MN,/minnesota/grand-marais/?tab=insights,1337
"Grand Meadow, MN",Grand Meadow,minnesota,MN,/minnesota/grand-meadow/?tab=insights,1127
"Grand Rapids, MN",Grand Rapids,minnesota,MN,/minnesota/grand-rapids/?tab=insights,11127
"Granite Falls, MN",Granite Falls,minnesota,MN,/minnesota/granite-falls/?tab=insights,2747
"Grant County, MN",Grant County,minnesota,MN,/minnesota/grant-county/?tab=insights,99123
"Greenfield, MN",Greenfield,minnesota,MN,/minnesota/greenfield/?tab=insights,2919
"Hallock, MN",Hallock,minnesota,MN,/minnesota/hallock/?tab=insights,906
"Ham Lake, MN",Ham Lake,minnesota,MN,/minnesota/ham-lake/?tab=insights,16464
"Hanover, MN",Hanover,minnesota,MN,/minnesota/hanover/?tab=insights,3289
"Harris, MN",Harris,minnesota,MN,/minnesota/harris/?tab=insights,1125
"Hastings, MN",Hastings,minnesota,MN,/minnesota/hastings/?tab=insights,22554
"Hawley, MN",Hawley,minnesota,MN,/minnesota/hawley/?tab=insights,2179
"Hayfield, MN",Hayfield,minnesota,MN,/minnesota/hayfield/?tab=insights,1364
"Hector, MN",Hector,minnesota,MN,/minnesota/hector/?tab=insights,1076
"Hennepin, MN",Hennepin,minnesota,MN,/minnesota/hennepin/?tab=insights,1281565
"Hermantown, MN",Hermantown,minnesota,MN,/minnesota/hermantown/?tab=insights,10221
