city,state_slug,population
Kendall,tx,131869
Pickens County,al,131404
Pickens County,ga,131404
Pickens County,sc,131404
Tazewell County,il,131343
Tazewell County,va,131343
Black Hawk,ia,131144
Denton,tx,131044
Strafford County,nh,130889
New Haven,ct,130322
Visalia,ca,130104
Rapides,la,130023
Skagit,wa,129523
Columbia,mo,129330
Bushwick,ny,129239
Berkshire,ma,129026
Elizabeth,nj,129007
Hunterdon,nj,128947
Fayette County,al,128804
Fayette County,ga,128804
Fayette County,il,128804
Fayette County,in,128804
Fayette County,ia,128804
Fayette County,oh,128804
Fayette County,pa,128804
Fayette County,tn,128804
Fayette County,tx,128804
Fayette County,wv,128804
Bossier,la,128746
Concord,ca,128667
Linn County,ks,128610
Linn County,mo,128610
Linn County,or,128610
Norman,ok,128026
Sebastian,ar,127799
Alhambra,az,127764
Chautauqua,ks,127657
Chautauqua,ny,127657
Athens,ga,127315
Caguas,pr,127244
Thousand Oaks,ca,126966
Ascension,la,126500
East Los Angeles,ca,126496
Simi Valley,ca,126356
Santa Clara,ca,126215
Vallejo,ca,126090
Sunset Park,ny,126000
Fargo,nd,125990
Topeka,ks,125963
Pearland,tx,125828
Cochise,az,125447
Abilene,tx,125182
Arvada,co,124402
Berkeley,ca,124321
Koreatown,ca,124281
Gregg,tx,124239
Bonneville,id,123964
Ann Arbor,mi,123851
Kennebec,me,123642
Faulkner,ar,123498
Blair,pa,122822
Sheepshead Bay,ny,122534
Amherst,ny,122366
Berkeley,sc,122076
Berkeley,wv,122076
Lafayette,la,121374
North Stamford,ct,121230
Hartford,ct,121054
La Crosse County,wi,120784
College Station,tx,120511
Allegan County,mi,120502
Allentown,pa,120207
Tom Green,tx,120003
Evansville,in,119943
Palm Bay,fl,119760
Richardson,tx,119469
Round Rock,tx,119468
Gallatin,il,118960
Gallatin,ky,118960
Gallatin,mt,118960
Potter,pa,118525
Potter,sd,118525
Potter,tx,118525
Sheboygan County,wi,118034
Missoula County,mt,117922
Oswego County,ny,117525
West Palm Beach,fl,117415
Clearwater,fl,117292
Independence,mo,117255
Billings,mt,117116
West Jordan,ut,116961
Robeson,nc,116530
Harlem,ny,116345
Westminster,co,116317
Wilmington,nc,115933
East Harlem,ny,115921
Flagler,fl,115378
Antioch,ca,115291
Beaumont,tx,115282
Provo,ut,115162
Peoria,il,115070
North Charleston,sc,114852
Carlsbad,ca,114746
Odessa,tx,114428
Springfield,il,114394
League City,tx,114392
Downey,ca,114219
Lycoming,pa,114188
High Point,nc,114059
Broken Arrow,ok,113540
Elmhurst,ny,113364
North Peoria,il,113004
Fairfield,ca,112970
Lansing,mi,112644
Ontario County,ny,112458
LaPorte,in,112417
Albemarle,va,112395
Gravesend,ny,112229
Rochester,mn,112225
Elgin,il,112111
Pompano Beach,fl,112046
Costa Mesa,ca,111918
Pueblo,co,111876
Lewisville,tx,111822
Miami Gardens,fl,111640
Las Cruces,nm,111385
Craighead,ar,111231
Androscoggin,me,111139
Murrieta,ca,110949
Ventura,ca,110763
Van Nuys,ca,110747
Cowlitz,wa,110730
Lowell,ma,110699
East Independence,mo,110675
Everett,wa,110629
Gresham,or,110553
Cambridge,ma,110402
Manchester,nh,110229
Temecula,ca,110003
Hanover County,va,109979
Dearborn,mi,109976
Centennial,co,109741
Richmond,ca,109708
Santa Maria,ca,109707
Corona,ny,109698
LaSalle,il,109658
Terrebonne,la,109580
West Covina,ca,109501
El Monte,ca,109450
Pennington,mn,109222
Pennington,sd,109222
Eaton,mi,109175
Bartow,ga,108901
Waterbury,ct,108802
Greeley,co,108795
Miami,in,108774
Miami,ks,108774
Miami,oh,108774
Bradley,ar,108620
Bradley,tn,108620
St. Lawrence,ny,108505
Enterprise,nv,108481
Sandy Springs,ga,108080
Rockwall County,tx,107819
Inglewood,ca,107762
Yamhill County,or,107722
Sumter County,al,107456
Sumter County,fl,107456
Sumter County,ga,107456
Sumter County,sc,107456
Boyle Heights,ca,107406
Green Bay,wi,107395
Carver County,mn,106922
Boulder,co,106803
Renton,wa,106785
Walworth County,sd,106478
Walworth County,wi,106478
El Cajon,ca,106215
Vigo,in,106153
Woodbury,ia,105941
Monongalia,wv,105822
Flatbush,ny,105804
Tompkins,ny,105740
Eau Claire County,wi,105710
Davie,fl,105691
San Mateo,ca,105661
Brockton,ma,105643
Burbank,ca,105319
Universal City,ca,105000
Daly City,ca,104901
Lakeland,fl,104401
Flathead,mt,104357
Clovis,ca,104180
Fond du Lac County,wi,104154
Rio Rancho,nm,104046
Rialto,ca,104026
Bay,fl,103856
Bay,mi,103856
Cecil,md,103725
Tyler,tx,103700
Wicomico,md,103588
Brandon,fl,103483
Etowah,al,103436
Spokane Valley,wa,102976
Whitfield,ga,102864
Norwalk,ca,102773
Norwalk,ct,102773
Davenport,ia,102582
Edison,nj,102548
Menifee,ca,102527
Vacaville,ca,102386
Hillsboro,or,102347
Wichita Falls,tx,102316
Nevada,ar,102241
Nevada,ca,102241
Allen,in,102206
Allen,ky,102206
Columbiana County,oh,101877
South Bend,in,101516
Chico,ca,101475
Highlands,fl,101235
Albany,ny,101228
Lee's Summit,mo,101108
New Bedford,ma,101079
Federal Way,wa,101030
Maury,tn,100974
Craven,nc,100720
Laramie County,wy,100512
Nampa,id,100200
Garland,ar,100180
Roanoke,va,100011
Kenosha,wi,99986
Hunt,tx,99956
San Tan Valley,az,99894
San Angelo,tx,99893
